Label,2015-06-29,2015-07-06,2015-07-13,2015-07-20,2015-07-27,2015-08-03,2015-08-10,2015-08-17,2015-08-24,2015-08-31,2015-09-07,2015-09-14,2015-09-21,2015-09-28,2015-10-05,2015-10-12,2015-10-19,2015-10-26,2015-11-02,2015-11-09,2015-11-16,2015-11-23,2015-11-30,2015-12-07,2015-12-14,2015-12-21,2015-12-28,2016-01-04,2016-01-11,2016-01-18,2016-01-25,2016-02-01,2016-02-08,2016-02-15,2016-02-22,2016-02-29,2016-03-07,2016-03-14,2016-03-21,2016-03-28,2016-04-04,2016-04-11,2016-04-18,2016-04-25,2016-05-02,2016-05-09,2016-05-16,2016-05-23,2016-05-30,2016-06-06,2016-06-13,2016-06-20,2016-06-27,2016-07-04,2016-07-11,2016-07-18,2016-07-25,2016-08-01,2016-08-08,2016-08-15,2016-08-22,2016-08-29,2016-09-05,2016-09-12,2016-09-19,2016-09-26,2016-10-03,2016-10-10,2016-10-17,2016-10-24,2016-10-31,2016-11-07,2016-11-14,2016-11-21,2016-11-28,2016-12-05,2016-12-12,2016-12-19,2016-12-26,2017-01-02,2017-01-09,2017-01-16,2017-01-23,2017-01-30,2017-02-06,2017-02-13,2017-02-20,2017-02-27,2017-03-06,2017-03-13,2017-03-20,2017-03-27,2017-04-03,2017-04-10,2017-04-17,2017-04-24,2017-05-01,2017-05-08,2017-05-15,2017-05-22,2017-05-29,2017-06-05,2017-06-12,2017-06-19,2017-06-26,2017-07-03,2017-07-10,2017-07-17,2017-07-24,2017-07-31,2017-08-07,2017-08-14,2017-08-21,2017-08-28
DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,0.0,21.21,16.67,13.89,3.03,0.0,12.5,10.34,7.35,22.03,8.75,3.06,14.16,9.33,10.81,11.61,12.78,15.89,6.67,5.88,5.66,7.34,19.15,17.02,28.12,19.51,10.38,2.97,19.35,18.29,20.14,22.99,21.78,17.46,5.6,8.0,26.56,24.26,6.29,13.01,20.0,9.23,13.04,36.23,41.46,20.0,31.25,66.67,44.0,37.78,21.95,9.68,20.83,33.33,25.71,15.38,36.11,31.37,13.64,33.02,10.78,26.15,23.96,26.8,23.81,16.13,35.29,32.69,22.99,30.56,22.54,23.94,20.48,18.81,8.15,27.63,15.38,15.49,13.11,37.21,17.78,29.82,27.54,14.97,21.43
ESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.03,0.0,2.38,3.61,0.0,0.0,36.18,3.12,0.0,0.0,0.0,0.0,0.0,0.0,9.35,0.0,0.0,1.59,12.33,2.94,26.83,13.79,7.69,13.33,8.33,17.65,16.1,9.62,7.87,23.4,23.99,22.86,16.92,41.07,26.83,42.11,29.09,38.24,25.0,40.91,30.3,27.45,42.22,30.0,34.62,41.27,41.38,34.07,43.04,39.68,33.7,37.13,28.03,39.0,33.9,20.31,34.62,42.86,19.64,13.56,23.68,37.61,30.0,35.19,28.57,18.18,33.58,30.69,29.63,50.94,52.04,28.72,31.37,13.64,16.0,19.61,24.49,10.31,18.34,27.27,21.62,32.79,17.07,32.26,47.62,40.32,40.0,37.17,30.43,31.11,31.91,30.43,29.31,60.0,40.62,35.48,39.29,41.67,29.35,44.83,37.5,46.4,36.75,39.74,38.89,62.5
FRA,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,28.87,0.0,2.08,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,8.0,6.9,2.82,3.7,2.38,7.14,18.18,10.0,8.26,10.67,11.84,5.0,16.83,17.39,15.38,14.86,12.5,20.13,13.64,16.33,11.9,16.02,8.47,20.34,11.11,10.13,13.54,13.43,28.17,15.38,21.1,24.74,22.22,23.08,28.99,28.46,28.87,21.25,24.3,15.62,21.79,27.88,16.67,30.86,24.11,21.62,7.44,10.19,7.26,9.64,11.43,12.31,11.27,22.56,31.43,16.67,38.33,19.05,22.81,21.11,22.82,20.13,27.96,18.27,16.92,16.98,14.36,12.14,26.61,38.1,25.0,25.16,26.64,19.83,25.0,24.79,24.73,21.93,26.19,28.21,41.24,16.92,29.09,29.58,36.84,30.52,36.25,37.34,30.0,50.0
GBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,52.63,0.0,0.0,27.03,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,8.0,4.0,11.32,8.7,10.29,16.42,15.69,8.89,29.69,20.3,30.34,16.47,8.42,22.0,9.91,6.62,9.38,11.27,6.72,7.62,15.56,9.7,16.54,22.22,25.51,22.73,25.58,27.97,37.36,23.47,33.6,25.9,8.73,12.33,32.6,15.54,6.5,5.0,22.42,31.21,30.95,25.74,11.65,24.64,21.05,41.51,24.44,25.33,40.0,23.73,30.43,16.33,22.39,27.71,23.73,24.05,13.71,19.21,19.01,19.15,16.67,22.69,18.26,37.5,25.17,23.88,37.3,19.7,23.83,38.6,27.78,29.56,22.75,23.46,29.68,26.47,27.98,25.0,24.4,26.61,28.19,42.95,22.14,19.05
PRT,50.99,56.7,54.06,65.03,65.56,67.29,64.45,56.34,62.99,63.55,58.01,66.14,72.94,67.67,57.49,61.67,49.57,52.56,49.34,61.14,23.15,37.69,59.53,71.12,32.09,53.01,47.96,32.92,19.21,43.75,40.21,31.35,45.91,58.11,56.33,38.86,24.58,51.18,61.84,45.61,49.64,59.06,62.5,65.67,56.93,69.79,60.53,63.01,69.55,68.08,74.5,47.23,56.13,45.5,50.15,43.75,47.55,52.66,60.6,53.69,51.47,59.36,71.87,69.44,63.79,68.88,82.01,76.18,72.8,57.18,80.55,73.93,39.02,37.42,54.12,37.25,23.21,36.36,46.82,41.58,45.53,38.97,51.61,38.96,43.87,44.44,45.37,63.87,50.16,60.0,54.73,50.85,76.02,68.51,73.67,73.32,75.71,70.52,82.16,58.75,75.39,71.46,71.9,66.42,65.7,55.0,52.32,60.67,59.26,46.76,45.63,48.7,49.04,29.69
