Label,2015-06-29,2015-07-06,2015-07-13,2015-07-20,2015-07-27,2015-08-03,2015-08-10,2015-08-17,2015-08-24,2015-08-31,2015-09-07,2015-09-14,2015-09-21,2015-09-28,2015-10-05,2015-10-12,2015-10-19,2015-10-26,2015-11-02,2015-11-09,2015-11-16,2015-11-23,2015-11-30,2015-12-07,2015-12-14,2015-12-21,2015-12-28,2016-01-04,2016-01-11,2016-01-18,2016-01-25,2016-02-01,2016-02-08,2016-02-15,2016-02-22,2016-02-29,2016-03-07,2016-03-14,2016-03-21,2016-03-28,2016-04-04,2016-04-11,2016-04-18,2016-04-25,2016-05-02,2016-05-09,2016-05-16,2016-05-23,2016-05-30,2016-06-06,2016-06-13,2016-06-20,2016-06-27,2016-07-04,2016-07-11,2016-07-18,2016-07-25,2016-08-01,2016-08-08,2016-08-15,2016-08-22,2016-08-29,2016-09-05,2016-09-12,2016-09-19,2016-09-26,2016-10-03,2016-10-10,2016-10-17,2016-10-24,2016-10-31,2016-11-07,2016-11-14,2016-11-21,2016-11-28,2016-12-05,2016-12-12,2016-12-19,2016-12-26,2017-01-02,2017-01-09,2017-01-16,2017-01-23,2017-01-30,2017-02-06,2017-02-13,2017-02-20,2017-02-27,2017-03-06,2017-03-13,2017-03-20,2017-03-27,2017-04-03,2017-04-10,2017-04-17,2017-04-24,2017-05-01,2017-05-08,2017-05-15,2017-05-22,2017-05-29,2017-06-05,2017-06-12,2017-06-19,2017-06-26,2017-07-03,2017-07-10,2017-07-17,2017-07-24,2017-07-31,2017-08-07,2017-08-14,2017-08-21,2017-08-28
DEU,6.0,2.0,2.0,2.0,6.0,7.0,47.0,9.0,1.0,42.0,30.0,29.0,20.0,28.0,32.0,81.0,13.0,17.0,26.0,23.0,14.0,8.0,20.0,3.0,6.0,19.0,18.0,10.0,17.0,13.0,33.0,30.0,36.0,33.0,22.0,48.0,58.0,68.0,59.0,80.0,98.0,113.0,75.0,111.0,112.0,133.0,107.0,75.0,51.0,106.0,109.0,94.0,47.0,32.0,41.0,106.0,101.0,62.0,82.0,139.0,87.0,101.0,63.0,125.0,100.0,128.0,136.0,175.0,146.0,95.0,65.0,46.0,69.0,41.0,40.0,16.0,42.0,25.0,45.0,41.0,31.0,24.0,18.0,35.0,26.0,36.0,51.0,88.0,106.0,102.0,65.0,96.0,97.0,126.0,124.0,85.0,104.0,87.0,72.0,142.0,71.0,83.0,101.0,135.0,76.0,143.0,142.0,122.0,86.0,45.0,57.0,69.0,147.0,56.0
ESP,21.0,22.0,45.0,52.0,56.0,115.0,94.0,115.0,148.0,110.0,42.0,83.0,69.0,13.0,152.0,32.0,62.0,57.0,44.0,23.0,72.0,44.0,278.0,23.0,27.0,63.0,73.0,34.0,41.0,29.0,26.0,45.0,96.0,51.0,118.0,52.0,89.0,141.0,271.0,35.0,65.0,56.0,41.0,95.0,55.0,34.0,56.0,22.0,33.0,51.0,45.0,40.0,78.0,63.0,87.0,91.0,79.0,126.0,181.0,167.0,132.0,100.0,59.0,64.0,52.0,42.0,56.0,59.0,38.0,109.0,50.0,54.0,70.0,55.0,134.0,189.0,54.0,53.0,98.0,94.0,51.0,88.0,50.0,51.0,49.0,97.0,169.0,33.0,37.0,61.0,41.0,31.0,63.0,186.0,30.0,113.0,46.0,45.0,47.0,46.0,58.0,45.0,32.0,62.0,56.0,72.0,92.0,87.0,88.0,125.0,117.0,156.0,126.0,48.0
FRA,8.0,5.0,2.0,2.0,7.0,44.0,62.0,38.0,25.0,59.0,97.0,93.0,96.0,130.0,61.0,58.0,86.0,43.0,76.0,50.0,44.0,46.0,12.0,46.0,25.0,58.0,71.0,27.0,42.0,28.0,33.0,60.0,109.0,75.0,76.0,60.0,101.0,69.0,52.0,74.0,128.0,154.0,110.0,98.0,126.0,181.0,118.0,59.0,144.0,79.0,96.0,67.0,71.0,52.0,109.0,97.0,108.0,156.0,169.0,130.0,97.0,80.0,107.0,96.0,78.0,104.0,108.0,175.0,112.0,185.0,121.0,157.0,124.0,83.0,70.0,65.0,71.0,133.0,105.0,60.0,60.0,84.0,57.0,90.0,149.0,149.0,93.0,104.0,130.0,159.0,181.0,140.0,109.0,126.0,120.0,155.0,229.0,116.0,120.0,117.0,93.0,114.0,84.0,78.0,97.0,65.0,110.0,71.0,76.0,154.0,160.0,158.0,60.0,18.0
GBR,28.0,41.0,24.0,25.0,33.0,25.0,23.0,17.0,32.0,45.0,70.0,171.0,74.0,91.0,74.0,190.0,113.0,30.0,29.0,16.0,43.0,30.0,32.0,22.0,25.0,27.0,20.0,26.0,23.0,34.0,25.0,50.0,53.0,46.0,68.0,67.0,102.0,90.0,64.0,133.0,145.0,85.0,95.0,100.0,111.0,136.0,160.0,142.0,134.0,105.0,135.0,134.0,127.0,144.0,98.0,88.0,86.0,118.0,91.0,98.0,125.0,139.0,126.0,227.0,181.0,148.0,246.0,200.0,223.0,141.0,126.0,101.0,103.0,69.0,38.0,53.0,45.0,75.0,65.0,59.0,46.0,49.0,67.0,83.0,118.0,237.0,124.0,151.0,121.0,141.0,96.0,119.0,230.0,144.0,151.0,134.0,185.0,203.0,193.0,272.0,198.0,203.0,189.0,162.0,219.0,170.0,168.0,140.0,168.0,124.0,149.0,149.0,131.0,63.0
PRT,302.0,351.0,529.0,569.0,360.0,535.0,796.0,426.0,462.0,513.0,624.0,821.0,669.0,662.0,774.0,660.0,464.0,449.0,229.0,211.0,419.0,321.0,472.0,374.0,187.0,266.0,538.0,161.0,203.0,288.0,291.0,370.0,403.0,623.0,600.0,422.0,301.0,551.0,511.0,353.0,548.0,491.0,608.0,568.0,476.0,470.0,603.0,465.0,532.0,636.0,706.0,451.0,367.0,367.0,329.0,384.0,286.0,338.0,335.0,352.0,272.0,283.0,423.0,396.0,417.0,498.0,378.0,655.0,397.0,418.0,545.0,422.0,246.0,326.0,388.0,255.0,224.0,176.0,393.0,190.0,347.0,349.0,436.0,326.0,351.0,306.0,518.0,357.0,317.0,430.0,296.0,295.0,513.0,289.0,338.0,491.0,424.0,329.0,583.0,400.0,516.0,515.0,420.0,399.0,379.0,260.0,302.0,239.0,297.0,278.0,252.0,345.0,261.0,192.0
