hotel,2015-06-29 00:00:00,2015-07-06 00:00:00,2015-07-13 00:00:00,2015-07-20 00:00:00,2015-07-27 00:00:00,2015-08-03 00:00:00,2015-08-10 00:00:00,2015-08-17 00:00:00,2015-08-24 00:00:00,2015-08-31 00:00:00,2015-09-07 00:00:00,2015-09-14 00:00:00,2015-09-21 00:00:00,2015-09-28 00:00:00,2015-10-05 00:00:00,2015-10-12 00:00:00,2015-10-19 00:00:00,2015-10-26 00:00:00,2015-11-02 00:00:00,2015-11-09 00:00:00,2015-11-16 00:00:00,2015-11-23 00:00:00,2015-11-30 00:00:00,2015-12-07 00:00:00,2015-12-14 00:00:00,2015-12-21 00:00:00,2015-12-28 00:00:00,2016-01-04 00:00:00,2016-01-11 00:00:00,2016-01-18 00:00:00,2016-01-25 00:00:00,2016-02-01 00:00:00,2016-02-08 00:00:00,2016-02-15 00:00:00,2016-02-22 00:00:00,2016-02-29 00:00:00,2016-03-07 00:00:00,2016-03-14 00:00:00,2016-03-21 00:00:00,2016-03-28 00:00:00,2016-04-04 00:00:00,2016-04-11 00:00:00,2016-04-18 00:00:00,2016-04-25 00:00:00,2016-05-02 00:00:00,2016-05-09 00:00:00,2016-05-16 00:00:00,2016-05-23 00:00:00,2016-05-30 00:00:00,2016-06-06 00:00:00,2016-06-13 00:00:00,2016-06-20 00:00:00,2016-06-27 00:00:00,2016-07-04 00:00:00,2016-07-11 00:00:00,2016-07-18 00:00:00,2016-07-25 00:00:00,2016-08-01 00:00:00,2016-08-08 00:00:00,2016-08-15 00:00:00,2016-08-22 00:00:00,2016-08-29 00:00:00,2016-09-05 00:00:00,2016-09-12 00:00:00,2016-09-19 00:00:00,2016-09-26 00:00:00,2016-10-03 00:00:00,2016-10-10 00:00:00,2016-10-17 00:00:00,2016-10-24 00:00:00,2016-10-31 00:00:00,2016-11-07 00:00:00,2016-11-14 00:00:00,2016-11-21 00:00:00,2016-11-28 00:00:00,2016-12-05 00:00:00,2016-12-12 00:00:00,2016-12-19 00:00:00,2016-12-26 00:00:00,2017-01-02 00:00:00,2017-01-09 00:00:00,2017-01-16 00:00:00,2017-01-23 00:00:00,2017-01-30 00:00:00,2017-02-06 00:00:00,2017-02-13 00:00:00,2017-02-20 00:00:00,2017-02-27 00:00:00,2017-03-06 00:00:00,2017-03-13 00:00:00,2017-03-20 00:00:00,2017-03-27 00:00:00,2017-04-03 00:00:00,2017-04-10 00:00:00,2017-04-17 00:00:00,2017-04-24 00:00:00,2017-05-01 00:00:00,2017-05-08 00:00:00,2017-05-15 00:00:00,2017-05-22 00:00:00,2017-05-29 00:00:00,2017-06-05 00:00:00,2017-06-12 00:00:00,2017-06-19 00:00:00,2017-06-26 00:00:00,2017-07-03 00:00:00,2017-07-10 00:00:00,2017-07-17 00:00:00,2017-07-24 00:00:00,2017-07-31 00:00:00,2017-08-07 00:00:00,2017-08-14 00:00:00,2017-08-21 00:00:00,2017-08-28 00:00:00
City Hotel,189.0,222.0,332.0,432.0,219.0,564.0,803.0,451.0,471.0,654.0,737.0,971.0,879.0,761.0,875.0,897.0,582.0,505.0,262.0,209.0,325.0,363.0,439.0,367.0,139.0,265.0,554.0,181.0,230.0,374.0,364.0,399.0,474.0,751.0,635.0,581.0,571.0,760.0,746.0,641.0,834.0,852.0,862.0,798.0,770.0,817.0,933.0,782.0,828.0,985.0,1063.0,817.0,743.0,708.0,669.0,732.0,675.0,736.0,784.0,828.0,720.0,745.0,791.0,941.0,875.0,1000.0,872.0,1194.0,831.0,936.0,903.0,819.0,617.0,608.0,624.0,557.0,374.0,396.0,781.0,531.0,523.0,543.0,551.0,525.0,540.0,632.0,803.0,698.0,678.0,846.0,768.0,671.0,990.0,866.0,844.0,1025.0,1063.0,903.0,1178.0,982.0,919.0,985.0,844.0,857.0,892.0,875.0,862.0,710.0,786.0,701.0,710.0,795.0,672.0,347.0
Resort Hotel,219.0,265.0,340.0,306.0,345.0,292.0,354.0,287.0,303.0,403.0,286.0,436.0,338.0,362.0,413.0,304.0,343.0,256.0,268.0,174.0,350.0,213.0,428.0,138.0,180.0,295.0,331.0,185.0,197.0,182.0,180.0,383.0,428.0,231.0,421.0,307.0,349.0,407.0,431.0,343.0,438.0,340.0,472.0,535.0,392.0,466.0,413.0,322.0,393.0,319.0,285.0,332.0,261.0,271.0,344.0,358.0,331.0,375.0,397.0,392.0,368.0,346.0,330.0,337.0,373.0,347.0,467.0,377.0,485.0,469.0,385.0,306.0,334.0,245.0,304.0,257.0,247.0,306.0,332.0,258.0,239.0,335.0,331.0,295.0,361.0,442.0,453.0,402.0,357.0,337.0,236.0,360.0,434.0,437.0,368.0,417.0,400.0,379.0,316.0,474.0,467.0,375.0,371.0,363.0,392.0,359.0,419.0,364.0,385.0,441.0,374.0,440.0,392.0,206.0
