hotel,origin,2015-06-29 00:00:00,2015-07-06 00:00:00,2015-07-13 00:00:00,2015-07-20 00:00:00,2015-07-27 00:00:00,2015-08-03 00:00:00,2015-08-10 00:00:00,2015-08-17 00:00:00,2015-08-24 00:00:00,2015-08-31 00:00:00,2015-09-07 00:00:00,2015-09-14 00:00:00,2015-09-21 00:00:00,2015-09-28 00:00:00,2015-10-05 00:00:00,2015-10-12 00:00:00,2015-10-19 00:00:00,2015-10-26 00:00:00,2015-11-02 00:00:00,2015-11-09 00:00:00,2015-11-16 00:00:00,2015-11-23 00:00:00,2015-11-30 00:00:00,2015-12-07 00:00:00,2015-12-14 00:00:00,2015-12-21 00:00:00,2015-12-28 00:00:00,2016-01-04 00:00:00,2016-01-11 00:00:00,2016-01-18 00:00:00,2016-01-25 00:00:00,2016-02-01 00:00:00,2016-02-08 00:00:00,2016-02-15 00:00:00,2016-02-22 00:00:00,2016-02-29 00:00:00,2016-03-07 00:00:00,2016-03-14 00:00:00,2016-03-21 00:00:00,2016-03-28 00:00:00,2016-04-04 00:00:00,2016-04-11 00:00:00,2016-04-18 00:00:00,2016-04-25 00:00:00,2016-05-02 00:00:00,2016-05-09 00:00:00,2016-05-16 00:00:00,2016-05-23 00:00:00,2016-05-30 00:00:00,2016-06-06 00:00:00,2016-06-13 00:00:00,2016-06-20 00:00:00,2016-06-27 00:00:00,2016-07-04 00:00:00,2016-07-11 00:00:00,2016-07-18 00:00:00,2016-07-25 00:00:00,2016-08-01 00:00:00,2016-08-08 00:00:00,2016-08-15 00:00:00,2016-08-22 00:00:00,2016-08-29 00:00:00,2016-09-05 00:00:00,2016-09-12 00:00:00,2016-09-19 00:00:00,2016-09-26 00:00:00,2016-10-03 00:00:00,2016-10-10 00:00:00,2016-10-17 00:00:00,2016-10-24 00:00:00,2016-10-31 00:00:00,2016-11-07 00:00:00,2016-11-14 00:00:00,2016-11-21 00:00:00,2016-11-28 00:00:00,2016-12-05 00:00:00,2016-12-12 00:00:00,2016-12-19 00:00:00,2016-12-26 00:00:00,2017-01-02 00:00:00,2017-01-09 00:00:00,2017-01-16 00:00:00,2017-01-23 00:00:00,2017-01-30 00:00:00,2017-02-06 00:00:00,2017-02-13 00:00:00,2017-02-20 00:00:00,2017-02-27 00:00:00,2017-03-06 00:00:00,2017-03-13 00:00:00,2017-03-20 00:00:00,2017-03-27 00:00:00,2017-04-03 00:00:00,2017-04-10 00:00:00,2017-04-17 00:00:00,2017-04-24 00:00:00,2017-05-01 00:00:00,2017-05-08 00:00:00,2017-05-15 00:00:00,2017-05-22 00:00:00,2017-05-29 00:00:00,2017-06-05 00:00:00,2017-06-12 00:00:00,2017-06-19 00:00:00,2017-06-26 00:00:00,2017-07-03 00:00:00,2017-07-10 00:00:00,2017-07-17 00:00:00,2017-07-24 00:00:00,2017-07-31 00:00:00,2017-08-07 00:00:00,2017-08-14 00:00:00,2017-08-21 00:00:00,2017-08-28 00:00:00
City Hotel,International,0.0,11.0,18.0,37.0,62.0,211.0,240.0,202.0,190.0,320.0,234.0,281.0,339.0,240.0,244.0,314.0,262.0,225.0,149.0,99.0,106.0,175.0,211.0,68.0,64.0,158.0,267.0,123.0,145.0,188.0,177.0,301.0,340.0,253.0,302.0,369.0,444.0,416.0,461.0,449.0,437.0,540.0,519.0,494.0,471.0,558.0,492.0,424.0,439.0,489.0,456.0,496.0,485.0,447.0,488.0,502.0,523.0,592.0,611.0,648.0,601.0,607.0,519.0,622.0,589.0,611.0,643.0,624.0,555.0,685.0,498.0,479.0,475.0,420.0,407.0,394.0,266.0,306.0,584.0,416.0,309.0,394.0,281.0,327.0,389.0,489.0,493.0,499.0,546.0,522.0,556.0,534.0,637.0,696.0,609.0,696.0,744.0,664.0,684.0,708.0,551.0,623.0,563.0,581.0,667.0,722.0,713.0,597.0,615.0,597.0,592.0,640.0,573.0,220.0
City Hotel,Portugal,189.0,211.0,314.0,395.0,157.0,353.0,563.0,249.0,281.0,334.0,503.0,690.0,540.0,521.0,631.0,583.0,320.0,280.0,113.0,110.0,219.0,188.0,228.0,299.0,75.0,107.0,287.0,58.0,85.0,186.0,187.0,98.0,134.0,498.0,333.0,212.0,127.0,344.0,285.0,192.0,397.0,312.0,343.0,304.0,299.0,259.0,441.0,358.0,389.0,496.0,607.0,321.0,258.0,261.0,181.0,230.0,152.0,144.0,173.0,180.0,119.0,138.0,272.0,319.0,286.0,389.0,229.0,570.0,276.0,251.0,405.0,340.0,142.0,188.0,217.0,163.0,108.0,90.0,197.0,115.0,214.0,149.0,270.0,198.0,151.0,143.0,310.0,199.0,132.0,324.0,212.0,137.0,353.0,170.0,235.0,329.0,319.0,239.0,494.0,274.0,368.0,362.0,281.0,276.0,225.0,153.0,149.0,113.0,171.0,104.0,118.0,155.0,99.0,127.0
Resort Hotel,International,106.0,125.0,125.0,132.0,142.0,110.0,121.0,110.0,122.0,224.0,165.0,305.0,209.0,221.0,270.0,227.0,199.0,87.0,152.0,73.0,150.0,80.0,184.0,63.0,68.0,136.0,80.0,82.0,79.0,80.0,76.0,111.0,159.0,106.0,154.0,97.0,175.0,200.0,205.0,182.0,287.0,161.0,207.0,271.0,215.0,255.0,251.0,215.0,250.0,179.0,186.0,202.0,152.0,165.0,196.0,204.0,197.0,181.0,235.0,220.0,215.0,201.0,179.0,260.0,242.0,238.0,318.0,292.0,364.0,302.0,245.0,224.0,230.0,107.0,133.0,165.0,131.0,220.0,136.0,183.0,106.0,135.0,165.0,167.0,161.0,279.0,245.0,244.0,172.0,231.0,152.0,202.0,274.0,318.0,265.0,255.0,295.0,289.0,227.0,348.0,319.0,222.0,232.0,240.0,238.0,252.0,266.0,238.0,259.0,267.0,240.0,250.0,230.0,141.0
Resort Hotel,Portugal,113.0,140.0,215.0,174.0,203.0,182.0,233.0,177.0,181.0,179.0,121.0,131.0,129.0,141.0,143.0,77.0,144.0,169.0,116.0,101.0,200.0,133.0,244.0,75.0,112.0,159.0,251.0,103.0,118.0,102.0,104.0,272.0,269.0,125.0,267.0,210.0,174.0,207.0,226.0,161.0,151.0,179.0,265.0,264.0,177.0,211.0,162.0,107.0,143.0,140.0,99.0,130.0,109.0,106.0,148.0,154.0,134.0,194.0,162.0,172.0,153.0,145.0,151.0,77.0,131.0,109.0,149.0,85.0,121.0,167.0,140.0,82.0,104.0,138.0,171.0,92.0,116.0,86.0,196.0,75.0,133.0,200.0,166.0,128.0,200.0,163.0,208.0,158.0,185.0,106.0,84.0,158.0,160.0,119.0,103.0,162.0,105.0,90.0,89.0,126.0,148.0,153.0,139.0,123.0,154.0,107.0,153.0,126.0,126.0,174.0,134.0,190.0,162.0,65.0
